id,from,to
1551,old_world_buffalo.n.01,water_buffalo.n.01
1552,mammal.n.01,placental.n.01
1553,placental.n.01,ungulate.n.01
1554,ungulate.n.01,odd-toed_ungulate.n.01
1555,odd-toed_ungulate.n.01,equine.n.01
1556,equine.n.01,horse.n.01
1557,horse.n.01,racehorse.n.01
1558,racehorse.n.01,dark_horse.n.02
1559,mammal.n.01,placental.n.01
1560,placental.n.01,ungulate.n.01
1561,ungulate.n.01,even-toed_ungulate.n.01
1562,even-toed_ungulate.n.01,ruminant.n.01
1563,ruminant.n.01,bovid.n.01
1564,bovid.n.01,antelope.n.01
1565,antelope.n.01,waterbuck.n.01
1566,waterbuck.n.01,lechwe.n.01
1567,mammal.n.01,placental.n.01
1568,placental.n.01,edentate.n.01
1569,edentate.n.01,sloth.n.02
1570,mammal.n.01,placental.n.01
1571,placental.n.01,ungulate.n.01
1572,ungulate.n.01,even-toed_ungulate.n.01
1573,even-toed_ungulate.n.01,ruminant.n.01
1574,ruminant.n.01,bovid.n.01
1575,bovid.n.01,bovine.n.01
1576,bovine.n.01,cattle.n.01
1577,cattle.n.01,beef.n.01
1578,beef.n.01,galloway.n.02
1579,mammal.n.01,placental.n.01
1580,placental.n.01,ungulate.n.01
1581,ungulate.n.01,even-toed_ungulate.n.01
1582,even-toed_ungulate.n.01,ruminant.n.01
1583,ruminant.n.01,bovid.n.01
1584,bovid.n.01,bovine.n.01
1585,bovine.n.01,ox.n.02
1586,ox.n.02,asian_wild_ox.n.01
1587,mammal.n.01,female_mammal.n.01
1588,mammal.n.01,placental.n.01
1589,placental.n.01,ungulate.n.01
1590,ungulate.n.01,odd-toed_ungulate.n.01
1591,odd-toed_ungulate.n.01,equine.n.01
1592,equine.n.01,horse.n.01
1593,horse.n.01,racehorse.n.01
1594,racehorse.n.01,thoroughbred.n.02
1595,thoroughbred.n.02,secretariat.n.02
1596,mammal.n.01,placental.n.01
1597,placental.n.01,ungulate.n.01
1598,ungulate.n.01,even-toed_ungulate.n.01
1599,even-toed_ungulate.n.01,ruminant.n.01
1600,ruminant.n.01,bovid.n.01
1601,bovid.n.01,antelope.n.01
1602,antelope.n.01,gerenuk.n.01
1603,mammal.n.01,placental.n.01
1604,placental.n.01,edentate.n.01
1605,edentate.n.01,armadillo.n.01
1606,armadillo.n.01,tatouay.n.01
1607,mammal.n.01,placental.n.01
1608,placental.n.01,ungulate.n.01
1609,ungulate.n.01,even-toed_ungulate.n.01
1610,even-toed_ungulate.n.01,ruminant.n.01
1611,ruminant.n.01,bovid.n.01
1612,bovid.n.01,bovine.n.01
1613,bovine.n.01,cattle.n.01
1614,cattle.n.01,devon.n.02
1615,mammal.n.01,placental.n.01
1616,placental.n.01,carnivore.n.01
1617,carnivore.n.01,procyonid.n.01
1618,mammal.n.01,placental.n.01
1619,placental.n.01,aquatic_mammal.n.01
1620,aquatic_mammal.n.01,pinniped_mammal.n.01
1621,pinniped_mammal.n.01,seal.n.09
1622,seal.n.09,earless_seal.n.01
1623,earless_seal.n.01,harp_seal.n.01
1624,mammal.n.01,placental.n.01
1625,placental.n.01,primate.n.02
1626,primate.n.02,monkey.n.01
1627,monkey.n.01,old_world_monkey.n.01
1628,old_world_monkey.n.01,patas.n.01
1629,mammal.n.01,placental.n.01
1630,placental.n.01,aquatic_mammal.n.01
1631,aquatic_mammal.n.01,cetacean.n.01
1632,cetacean.n.01,whale.n.02
1633,whale.n.02,baleen_whale.n.01
1634,baleen_whale.n.01,bowhead.n.01
1635,mammal.n.01,placental.n.01
1636,placental.n.01,ungulate.n.01
1637,ungulate.n.01,even-toed_ungulate.n.01
1638,even-toed_ungulate.n.01,ruminant.n.01
1639,ruminant.n.01,bovid.n.01
1640,bovid.n.01,goat.n.01
1641,goat.n.01,nanny.n.02
1642,mammal.n.01,placental.n.01
1643,placental.n.01,carnivore.n.01
1644,carnivore.n.01,feline.n.01
1645,feline.n.01,cat.n.01
1646,cat.n.01,domestic_cat.n.01
1647,domestic_cat.n.01,abyssinian.n.01
1648,mammal.n.01,placental.n.01
1649,placental.n.01,ungulate.n.01
1650,ungulate.n.01,odd-toed_ungulate.n.01
1651,odd-toed_ungulate.n.01,equine.n.01
1652,equine.n.01,horse.n.01
1653,horse.n.01,racehorse.n.01
1654,racehorse.n.01,thoroughbred.n.02
1655,thoroughbred.n.02,war_admiral.n.01
1656,mammal.n.01,placental.n.01
1657,placental.n.01,edentate.n.01
1658,edentate.n.01,sloth.n.02
1659,sloth.n.02,two-toed_sloth.n.02
1660,mammal.n.01,placental.n.01
1661,placental.n.01,pachyderm.n.01
1662,pachyderm.n.01,elephant.n.01
1663,elephant.n.01,indian_elephant.n.01
1664,mammal.n.01,placental.n.01
1665,placental.n.01,proboscidean.n.01
1666,proboscidean.n.01,elephant.n.01
1667,elephant.n.01,indian_elephant.n.01
1668,mammal.n.01,placental.n.01
1669,placental.n.01,ungulate.n.01
1670,ungulate.n.01,even-toed_ungulate.n.01
1671,even-toed_ungulate.n.01,ruminant.n.01
1672,ruminant.n.01,bovid.n.01
1673,bovid.n.01,sheep.n.01
1674,sheep.n.01,domestic_sheep.n.01
1675,domestic_sheep.n.01,longwool.n.01
1676,mammal.n.01,placental.n.01
1677,placental.n.01,carnivore.n.01
1678,carnivore.n.01,feline.n.01
1679,feline.n.01,cat.n.01
1680,cat.n.01,domestic_cat.n.01
1681,domestic_cat.n.01,siamese_cat.n.01
1682,siamese_cat.n.01,blue_point_siamese.n.01
1683,mammal.n.01,placental.n.01
1684,placental.n.01,ungulate.n.01
1685,ungulate.n.01,odd-toed_ungulate.n.01
1686,odd-toed_ungulate.n.01,equine.n.01
1687,equine.n.01,horse.n.01
1688,horse.n.01,male_horse.n.01
1689,male_horse.n.01,stallion.n.01
1690,stallion.n.01,stud.n.04
1691,mammal.n.01,placental.n.01
1692,placental.n.01,carnivore.n.01
1693,carnivore.n.01,canine.n.02
1694,canine.n.02,dog.n.01
1695,dog.n.01,hunting_dog.n.01
1696,hunting_dog.n.01,terrier.n.01
1697,terrier.n.01,wirehair.n.01
1698,wirehair.n.01,lakeland_terrier.n.01
1699,mammal.n.01,placental.n.01
1700,placental.n.01,ungulate.n.01
1701,ungulate.n.01,even-toed_ungulate.n.01
1702,even-toed_ungulate.n.01,ruminant.n.01
1703,ruminant.n.01,bovid.n.01
1704,bovid.n.01,forest_goat.n.01
1705,mammal.n.01,placental.n.01
1706,placental.n.01,ungulate.n.01
1707,ungulate.n.01,odd-toed_ungulate.n.01
1708,odd-toed_ungulate.n.01,equine.n.01
1709,equine.n.01,horse.n.01
1710,horse.n.01,saddle_horse.n.01
1711,saddle_horse.n.01,palfrey.n.01
1712,mammal.n.01,placental.n.01
1713,placental.n.01,aquatic_mammal.n.01
1714,aquatic_mammal.n.01,cetacean.n.01
1715,cetacean.n.01,whale.n.02
1716,whale.n.02,baleen_whale.n.01
1717,baleen_whale.n.01,right_whale.n.01
1718,mammal.n.01,placental.n.01
1719,placental.n.01,ungulate.n.01
1720,ungulate.n.01,even-toed_ungulate.n.01
1721,even-toed_ungulate.n.01,ruminant.n.01
1722,ruminant.n.01,bovid.n.01
1723,bovid.n.01,antelope.n.01
1724,antelope.n.01,harnessed_antelope.n.01
1725,harnessed_antelope.n.01,bushbuck.n.01
1726,mammal.n.01,placental.n.01
1727,placental.n.01,aquatic_mammal.n.01
1728,aquatic_mammal.n.01,pinniped_mammal.n.01
1729,pinniped_mammal.n.01,walrus.n.01
1730,walrus.n.01,atlantic_walrus.n.01
1731,mammal.n.01,placental.n.01
1732,placental.n.01,rodent.n.01
1733,rodent.n.01,squirrel.n.01
1734,squirrel.n.01,tree_squirrel.n.01
1735,tree_squirrel.n.01,chickeree.n.01
1736,mammal.n.01,placental.n.01
1737,placental.n.01,carnivore.n.01
1738,carnivore.n.01,musteline_mammal.n.01
1739,musteline_mammal.n.01,badger.n.02
1740,badger.n.02,eurasian_badger.n.01
1741,mammal.n.01,placental.n.01
1742,placental.n.01,ungulate.n.01
1743,ungulate.n.01,even-toed_ungulate.n.01
1744,even-toed_ungulate.n.01,ruminant.n.01
1745,ruminant.n.01,bovid.n.01
1746,bovid.n.01,sheep.n.01
1747,sheep.n.01,black_sheep.n.02
1748,mammal.n.01,placental.n.01
1749,placental.n.01,ungulate.n.01
1750,ungulate.n.01,even-toed_ungulate.n.01
1751,even-toed_ungulate.n.01,ruminant.n.01
1752,ruminant.n.01,bovid.n.01
1753,bovid.n.01,bovine.n.01
1754,bovine.n.01,cattle.n.01
1755,cattle.n.01,beef.n.01
1756,beef.n.01,cattalo.n.01
1757,mammal.n.01,placental.n.01
1758,placental.n.01,ungulate.n.01
1759,ungulate.n.01,even-toed_ungulate.n.01
1760,even-toed_ungulate.n.01,swine.n.01
1761,swine.n.01,wild_boar.n.01
1762,mammal.n.01,placental.n.01
1763,placental.n.01,ungulate.n.01
1764,ungulate.n.01,odd-toed_ungulate.n.01
1765,odd-toed_ungulate.n.01,equine.n.01
1766,equine.n.01,horse.n.01
1767,horse.n.01,saddle_horse.n.01
1768,saddle_horse.n.01,prancer.n.01
1769,mammal.n.01,placental.n.01
1770,placental.n.01,rodent.n.01
1771,rodent.n.01,rat.n.01
1772,rat.n.01,pocket_rat.n.01
1773,pocket_rat.n.01,gopher.n.04
1774,gopher.n.04,northern_pocket_gopher.n.01
1775,mammal.n.01,placental.n.01
1776,placental.n.01,carnivore.n.01
1777,carnivore.n.01,canine.n.02
1778,canine.n.02,dog.n.01
1779,dog.n.01,pooch.n.01
1780,mammal.n.01,placental.n.01
1781,placental.n.01,ungulate.n.01
1782,ungulate.n.01,even-toed_ungulate.n.01
1783,even-toed_ungulate.n.01,swine.n.01
1784,swine.n.01,hog.n.03
1785,hog.n.03,porker.n.01
1786,mammal.n.01,placental.n.01
1787,placental.n.01,carnivore.n.01
1788,carnivore.n.01,canine.n.02
1789,canine.n.02,dog.n.01
1790,dog.n.01,griffon.n.02
1791,mammal.n.01,placental.n.01
1792,placental.n.01,edentate.n.01
1793,edentate.n.01,armadillo.n.01
1794,mammal.n.01,placental.n.01
1795,placental.n.01,yearling.n.03
1796,mammal.n.01,placental.n.01
1797,placental.n.01,ungulate.n.01
1798,ungulate.n.01,even-toed_ungulate.n.01
1799,even-toed_ungulate.n.01,ruminant.n.01
1800,ruminant.n.01,bovid.n.01
1801,bovid.n.01,bovine.n.01
1802,bovine.n.01,cattle.n.01
1803,cattle.n.01,dairy_cattle.n.01
1804,dairy_cattle.n.01,friesian.n.01
1805,mammal.n.01,placental.n.01
1806,placental.n.01,ungulate.n.01
1807,ungulate.n.01,even-toed_ungulate.n.01
1808,even-toed_ungulate.n.01,ruminant.n.01
1809,ruminant.n.01,bovid.n.01
1810,bovid.n.01,bovine.n.01
1811,bovine.n.01,cattle.n.01
1812,cattle.n.01,bull.n.01
1813,bull.n.01,bullock.n.01
1814,mammal.n.01,placental.n.01
1815,placental.n.01,ungulate.n.01
1816,ungulate.n.01,odd-toed_ungulate.n.01
1817,odd-toed_ungulate.n.01,equine.n.01
1818,equine.n.01,horse.n.01
1819,horse.n.01,saddle_horse.n.01
1820,saddle_horse.n.01,warhorse.n.03
1821,warhorse.n.03,steed.n.01
1822,mammal.n.01,placental.n.01
1823,placental.n.01,carnivore.n.01
1824,carnivore.n.01,musteline_mammal.n.01
1825,musteline_mammal.n.01,polecat.n.02
1826,mammal.n.01,placental.n.01
1827,placental.n.01,insectivore.n.01
1828,insectivore.n.01,shrew.n.02
1829,shrew.n.02,water_shrew.n.01
1830,mammal.n.01,placental.n.01
1831,placental.n.01,carnivore.n.01
1832,carnivore.n.01,procyonid.n.01
1833,procyonid.n.01,coati.n.01
1834,mammal.n.01,placental.n.01
1835,placental.n.01,rodent.n.01
1836,rodent.n.01,rat.n.01
1837,rat.n.01,pocket_rat.n.01
1838,pocket_rat.n.01,gopher.n.04
1839,gopher.n.04,valley_pocket_gopher.n.01
1840,mammal.n.01,placental.n.01
1841,placental.n.01,edentate.n.01
1842,edentate.n.01,armadillo.n.01
1843,armadillo.n.01,giant_armadillo.n.01
1844,mammal.n.01,placental.n.01
1845,placental.n.01,bat.n.01
1846,bat.n.01,carnivorous_bat.n.01
1847,carnivorous_bat.n.01,freetail.n.01
1848,mammal.n.01,placental.n.01
1849,placental.n.01,ungulate.n.01
1850,mammal.n.01,placental.n.01
1851,placental.n.01,rodent.n.01
1852,rodent.n.01,mouse.n.01
1853,mouse.n.01,nude_mouse.n.01
1854,mammal.n.01,placental.n.01
1855,placental.n.01,ungulate.n.01
1856,ungulate.n.01,odd-toed_ungulate.n.01
1857,odd-toed_ungulate.n.01,equine.n.01
1858,equine.n.01,horse.n.01
1859,horse.n.01,stepper.n.03
1860,mammal.n.01,placental.n.01
1861,placental.n.01,ungulate.n.01
1862,ungulate.n.01,odd-toed_ungulate.n.01
1863,odd-toed_ungulate.n.01,equine.n.01
1864,equine.n.01,horse.n.01
1865,horse.n.01,racehorse.n.01
1866,racehorse.n.01,thoroughbred.n.02
1867,thoroughbred.n.02,count_fleet.n.01
1868,mammal.n.01,placental.n.01
1869,placental.n.01,ungulate.n.01
1870,ungulate.n.01,odd-toed_ungulate.n.01
1871,odd-toed_ungulate.n.01,equine.n.01
1872,equine.n.01,horse.n.01
1873,horse.n.01,workhorse.n.02
1874,workhorse.n.02,farm_horse.n.01
1875,mammal.n.01,placental.n.01
1876,placental.n.01,ungulate.n.01
1877,ungulate.n.01,even-toed_ungulate.n.01
1878,even-toed_ungulate.n.01,ruminant.n.01
1879,ruminant.n.01,bovid.n.01
1880,bovid.n.01,antelope.n.01
1881,antelope.n.01,addax.n.01
1882,mammal.n.01,placental.n.01
1883,placental.n.01,rodent.n.01
1884,rodent.n.01,rat.n.01
1885,rat.n.01,pocket_rat.n.01
1886,mammal.n.01,placental.n.01
1887,placental.n.01,carnivore.n.01
1888,carnivore.n.01,canine.n.02
1889,canine.n.02,dog.n.01
1890,dog.n.01,hunting_dog.n.01
1891,hunting_dog.n.01,hound.n.01
1892,hound.n.01,foxhound.n.01
1893,foxhound.n.01,american_foxhound.n.01
1894,mammal.n.01,placental.n.01
1895,placental.n.01,aquatic_mammal.n.01
1896,aquatic_mammal.n.01,cetacean.n.01
1897,cetacean.n.01,whale.n.02
1898,whale.n.02,toothed_whale.n.01
1899,toothed_whale.n.01,dolphin.n.02
1900,dolphin.n.02,porpoise.n.01
1901,mammal.n.01,placental.n.01
1902,placental.n.01,carnivore.n.01
1903,carnivore.n.01,canine.n.02
1904,canine.n.02,dog.n.01
1905,dog.n.01,hunting_dog.n.01
1906,hunting_dog.n.01,sporting_dog.n.01
1907,sporting_dog.n.01,spaniel.n.01
1908,spaniel.n.01,clumber.n.01
1909,mammal.n.01,placental.n.01
1910,placental.n.01,carnivore.n.01
1911,carnivore.n.01,canine.n.02
1912,canine.n.02,dog.n.01
1913,dog.n.01,hunting_dog.n.01
1914,hunting_dog.n.01,hound.n.01
1915,hound.n.01,boarhound.n.01
1916,mammal.n.01,placental.n.01
1917,placental.n.01,ungulate.n.01
1918,ungulate.n.01,odd-toed_ungulate.n.01
1919,odd-toed_ungulate.n.01,equine.n.01
1920,equine.n.01,horse.n.01
1921,horse.n.01,racehorse.n.01
1922,racehorse.n.01,trotting_horse.n.01
1923,mammal.n.01,placental.n.01
1924,placental.n.01,primate.n.02
1925,primate.n.02,ape.n.01
1926,ape.n.01,anthropoid_ape.n.01
1927,anthropoid_ape.n.01,great_ape.n.01
1928,great_ape.n.01,gorilla.n.01
1929,mammal.n.01,metatherian.n.01
1930,metatherian.n.01,marsupial.n.01
1931,marsupial.n.01,kangaroo.n.01
1932,kangaroo.n.01,rat_kangaroo.n.01
1933,rat_kangaroo.n.01,bettong.n.01
1934,mammal.n.01,placental.n.01
1935,placental.n.01,carnivore.n.01
1936,carnivore.n.01,feline.n.01
1937,feline.n.01,big_cat.n.01
1938,big_cat.n.01,leopard.n.02
1939,leopard.n.02,panther.n.02
1940,mammal.n.01,placental.n.01
1941,placental.n.01,aquatic_mammal.n.01
1942,aquatic_mammal.n.01,pinniped_mammal.n.01
1943,pinniped_mammal.n.01,walrus.n.01
1944,mammal.n.01,placental.n.01
1945,placental.n.01,proboscidean.n.01
1946,proboscidean.n.01,mastodon.n.01
1947,mammal.n.01,metatherian.n.01
1948,metatherian.n.01,marsupial.n.01
1949,marsupial.n.01,kangaroo.n.01
1950,kangaroo.n.01,wallaby.n.01
1951,wallaby.n.01,pademelon.n.01
1952,mammal.n.01,placental.n.01
1953,placental.n.01,carnivore.n.01
1954,carnivore.n.01,canine.n.02
1955,canine.n.02,dog.n.01
1956,dog.n.01,hunting_dog.n.01
1957,hunting_dog.n.01,hound.n.01
1958,hound.n.01,beagle.n.01
1959,mammal.n.01,placental.n.01
1960,placental.n.01,bat.n.01
1961,bat.n.01,carnivorous_bat.n.01
1962,carnivorous_bat.n.01,vespertilian_bat.n.01
1963,vespertilian_bat.n.01,jackass_bat.n.01
1964,mammal.n.01,placental.n.01
1965,placental.n.01,carnivore.n.01
1966,carnivore.n.01,procyonid.n.01
1967,procyonid.n.01,bassarisk.n.01
1968,mammal.n.01,placental.n.01
1969,placental.n.01,rodent.n.01
1970,rodent.n.01,lemming.n.01
1971,lemming.n.01,european_lemming.n.01
1972,mammal.n.01,placental.n.01
1973,placental.n.01,carnivore.n.01
1974,carnivore.n.01,canine.n.02
1975,canine.n.02,dog.n.01
1976,dog.n.01,working_dog.n.01
1977,working_dog.n.01,shepherd_dog.n.01
1978,shepherd_dog.n.01,belgian_sheepdog.n.01
1979,belgian_sheepdog.n.01,malinois.n.01
1980,mammal.n.01,placental.n.01
1981,placental.n.01,bat.n.01
1982,bat.n.01,carnivorous_bat.n.01
1983,carnivorous_bat.n.01,leafnose_bat.n.01
1984,leafnose_bat.n.01,orange_bat.n.01
1985,mammal.n.01,placental.n.01
1986,placental.n.01,ungulate.n.01
1987,ungulate.n.01,even-toed_ungulate.n.01
1988,even-toed_ungulate.n.01,ruminant.n.01
1989,ruminant.n.01,bovid.n.01
1990,bovid.n.01,bovine.n.01
1991,bovine.n.01,cattle.n.01
1992,cattle.n.01,africander.n.01
1993,mammal.n.01,placental.n.01
1994,placental.n.01,ungulate.n.01
1995,ungulate.n.01,even-toed_ungulate.n.01
1996,even-toed_ungulate.n.01,ruminant.n.01
1997,ruminant.n.01,bovid.n.01
1998,bovid.n.01,bovine.n.01
1999,bovine.n.01,cattle.n.01
2000,cattle.n.01,dairy_cattle.n.01
2001,dairy_cattle.n.01,jersey.n.05
2002,mammal.n.01,placental.n.01
2003,placental.n.01,rodent.n.01
2004,rodent.n.01,rat.n.01
2005,rat.n.01,pocket_rat.n.01
2006,pocket_rat.n.01,kangaroo_rat.n.01
2007,kangaroo_rat.n.01,ord_kangaroo_rat.n.01
2008,mammal.n.01,placental.n.01
2009,placental.n.01,ungulate.n.01
2010,ungulate.n.01,even-toed_ungulate.n.01
2011,even-toed_ungulate.n.01,ruminant.n.01
2012,ruminant.n.01,bovid.n.01
2013,bovid.n.01,bovine.n.01
2014,bovine.n.01,brahman.n.04
2015,brahman.n.04,zebu.n.01
2016,mammal.n.01,placental.n.01
2017,placental.n.01,edentate.n.01
2018,edentate.n.01,sloth.n.02
2019,sloth.n.02,three-toed_sloth.n.01
2020,mammal.n.01,placental.n.01
2021,placental.n.01,rodent.n.01
2022,rodent.n.01,cavy.n.01
2023,cavy.n.01,aperea.n.01
2024,mammal.n.01,placental.n.01
2025,placental.n.01,ungulate.n.01
2026,ungulate.n.01,even-toed_ungulate.n.01
2027,even-toed_ungulate.n.01,ruminant.n.01
2028,ruminant.n.01,deer.n.01
2029,deer.n.01,red_deer.n.01
2030,red_deer.n.01,brocket.n.02
2031,mammal.n.01,placental.n.01
2032,placental.n.01,ungulate.n.01
2033,ungulate.n.01,even-toed_ungulate.n.01
2034,even-toed_ungulate.n.01,ruminant.n.01
2035,ruminant.n.01,bovid.n.01
2036,bovid.n.01,bovine.n.01
2037,bovine.n.01,ox.n.02
2038,ox.n.02,asian_wild_ox.n.01
2039,asian_wild_ox.n.01,gaur.n.01
2040,mammal.n.01,placental.n.01
2041,placental.n.01,lagomorph.n.01
2042,lagomorph.n.01,leporid.n.01
2043,leporid.n.01,rabbit.n.01
2044,rabbit.n.01,wood_rabbit.n.01
2045,mammal.n.01,placental.n.01
2046,placental.n.01,primate.n.02
2047,primate.n.02,tarsier.n.01
2048,tarsier.n.01,tarsius_syrichta.n.01
2049,mammal.n.01,placental.n.01
2050,placental.n.01,carnivore.n.01
2051,carnivore.n.01,bear.n.01
2052,bear.n.01,brown_bear.n.01
2053,brown_bear.n.01,grizzly.n.01
2054,mammal.n.01,placental.n.01
2055,placental.n.01,carnivore.n.01
2056,carnivore.n.01,canine.n.02
2057,canine.n.02,wild_dog.n.01
2058,wild_dog.n.01,dhole.n.01
2059,mammal.n.01,placental.n.01
2060,placental.n.01,primate.n.02
2061,primate.n.02,monkey.n.01
2062,monkey.n.01,old_world_monkey.n.01
2063,old_world_monkey.n.01,macaque.n.01
2064,macaque.n.01,rhesus.n.01
2065,mammal.n.01,placental.n.01
2066,placental.n.01,primate.n.02
2067,primate.n.02,monkey.n.01
2068,monkey.n.01,old_world_monkey.n.01
2069,old_world_monkey.n.01,baboon.n.01
2070,mammal.n.01,placental.n.01
2071,placental.n.01,ungulate.n.01
2072,ungulate.n.01,even-toed_ungulate.n.01
2073,even-toed_ungulate.n.01,ruminant.n.01
2074,ruminant.n.01,bovid.n.01
2075,bovid.n.01,old_world_buffalo.n.01
2076,old_world_buffalo.n.01,tamarau.n.01
2077,mammal.n.01,placental.n.01
2078,placental.n.01,primate.n.02
2079,primate.n.02,lemur.n.01
2080,lemur.n.01,galago.n.01
2081,mammal.n.01,placental.n.01
2082,placental.n.01,carnivore.n.01
2083,carnivore.n.01,canine.n.02
2084,canine.n.02,dog.n.01
2085,dog.n.01,pug.n.01
2086,mammal.n.01,placental.n.01
2087,placental.n.01,primate.n.02
2088,primate.n.02,monkey.n.01
2089,monkey.n.01,old_world_monkey.n.01
2090,old_world_monkey.n.01,colobus.n.01
2091,mammal.n.01,placental.n.01
2092,placental.n.01,carnivore.n.01
2093,carnivore.n.01,canine.n.02
2094,canine.n.02,dog.n.01
2095,dog.n.01,hunting_dog.n.01
2096,hunting_dog.n.01,sporting_dog.n.01
2097,sporting_dog.n.01,spaniel.n.01
2098,spaniel.n.01,springer_spaniel.n.01
2099,mammal.n.01,placental.n.01
2100,placental.n.01,ungulate.n.01
2101,ungulate.n.01,even-toed_ungulate.n.01
2102,even-toed_ungulate.n.01,camel.n.01
2103,camel.n.01,bactrian_camel.n.01
2104,mammal.n.01,placental.n.01
2105,placental.n.01,carnivore.n.01
2106,carnivore.n.01,canine.n.02
2107,canine.n.02,dog.n.01
2108,dog.n.01,hunting_dog.n.01
2109,hunting_dog.n.01,sporting_dog.n.01
2110,sporting_dog.n.01,spaniel.n.01
2111,spaniel.n.01,water_spaniel.n.01
2112,water_spaniel.n.01,american_water_spaniel.n.01
2113,mammal.n.01,placental.n.01
2114,placental.n.01,ungulate.n.01
2115,ungulate.n.01,even-toed_ungulate.n.01
2116,even-toed_ungulate.n.01,ruminant.n.01
2117,ruminant.n.01,bovid.n.01
2118,bovid.n.01,wild_sheep.n.01
2119,wild_sheep.n.01,dall_sheep.n.01
2120,mammal.n.01,placental.n.01
2121,placental.n.01,rodent.n.01
2122,rodent.n.01,hamster.n.01
2123,hamster.n.01,eurasian_hamster.n.01
2124,mammal.n.01,placental.n.01
2125,placental.n.01,ungulate.n.01
2126,ungulate.n.01,odd-toed_ungulate.n.01
2127,odd-toed_ungulate.n.01,equine.n.01
2128,equine.n.01,horse.n.01
2129,horse.n.01,saddle_horse.n.01
2130,saddle_horse.n.01,crowbait.n.01
2131,mammal.n.01,placental.n.01
2132,placental.n.01,carnivore.n.01
2133,carnivore.n.01,canine.n.02
2134,canine.n.02,dog.n.01
2135,dog.n.01,cur.n.01
2136,mammal.n.01,placental.n.01
2137,placental.n.01,carnivore.n.01
2138,carnivore.n.01,musteline_mammal.n.01
2139,musteline_mammal.n.01,sea_otter.n.01
2140,mammal.n.01,metatherian.n.01
2141,metatherian.n.01,marsupial.n.01
2142,marsupial.n.01,opossum.n.02
2143,opossum.n.02,crab-eating_opossum.n.01
2144,mammal.n.01,placental.n.01
2145,placental.n.01,ungulate.n.01
2146,ungulate.n.01,even-toed_ungulate.n.01
2147,even-toed_ungulate.n.01,ruminant.n.01
2148,ruminant.n.01,deer.n.01
2149,deer.n.01,brocket.n.01
2150,mammal.n.01,placental.n.01
2151,placental.n.01,pachyderm.n.01
2152,pachyderm.n.01,elephant.n.01
2153,elephant.n.01,african_elephant.n.01
2154,mammal.n.01,placental.n.01
2155,placental.n.01,proboscidean.n.01
2156,proboscidean.n.01,elephant.n.01
2157,elephant.n.01,african_elephant.n.01
2158,mammal.n.01,placental.n.01
2159,placental.n.01,carnivore.n.01
2160,carnivore.n.01,canine.n.02
2161,canine.n.02,dog.n.01
2162,dog.n.01,hunting_dog.n.01
2163,hunting_dog.n.01,hound.n.01
2164,hound.n.01,otterhound.n.01
2165,mammal.n.01,placental.n.01
2166,placental.n.01,ungulate.n.01
2167,ungulate.n.01,odd-toed_ungulate.n.01
2168,odd-toed_ungulate.n.01,equine.n.01
2169,equine.n.01,horse.n.01
2170,horse.n.01,workhorse.n.02
2171,workhorse.n.02,draft_horse.n.01
2172,draft_horse.n.01,pole_horse.n.02
2173,mammal.n.01,placental.n.01
2174,placental.n.01,ungulate.n.01
2175,ungulate.n.01,even-toed_ungulate.n.01
2176,even-toed_ungulate.n.01,ruminant.n.01
2177,ruminant.n.01,bovid.n.01
2178,bovid.n.01,antelope.n.01
2179,antelope.n.01,sable_antelope.n.01
2180,mammal.n.01,placental.n.01
2181,placental.n.01,primate.n.02
2182,primate.n.02,monkey.n.01
2183,monkey.n.01,old_world_monkey.n.01
2184,old_world_monkey.n.01,macaque.n.01
2185,macaque.n.01,crab-eating_macaque.n.01
2186,mammal.n.01,placental.n.01
2187,placental.n.01,ungulate.n.01
2188,ungulate.n.01,odd-toed_ungulate.n.01
2189,odd-toed_ungulate.n.01,equine.n.01
2190,equine.n.01,horse.n.01
2191,horse.n.01,racehorse.n.01
2192,racehorse.n.01,thoroughbred.n.02
2193,thoroughbred.n.02,seattle_slew.n.01
2194,mammal.n.01,placental.n.01
2195,placental.n.01,ungulate.n.01
2196,ungulate.n.01,odd-toed_ungulate.n.01
2197,mammal.n.01,placental.n.01
2198,placental.n.01,carnivore.n.01
2199,carnivore.n.01,musteline_mammal.n.01
2200,musteline_mammal.n.01,otter.n.02
2201,mammal.n.01,placental.n.01
2202,placental.n.01,carnivore.n.01
2203,carnivore.n.01,canine.n.02
2204,canine.n.02,dog.n.01
2205,dog.n.01,hunting_dog.n.01
2206,hunting_dog.n.01,sporting_dog.n.01
2207,sporting_dog.n.01,spaniel.n.01
2208,mammal.n.01,metatherian.n.01
2209,metatherian.n.01,marsupial.n.01
2210,marsupial.n.01,phalanger.n.01
2211,phalanger.n.01,cuscus.n.01
2212,mammal.n.01,placental.n.01
2213,placental.n.01,ungulate.n.01
2214,ungulate.n.01,even-toed_ungulate.n.01
2215,even-toed_ungulate.n.01,ruminant.n.01
2216,ruminant.n.01,bovid.n.01
2217,bovid.n.01,wild_sheep.n.01
2218,wild_sheep.n.01,aoudad.n.01
2219,mammal.n.01,placental.n.01
2220,placental.n.01,primate.n.02
2221,primate.n.02,monkey.n.01
2222,mammal.n.01,placental.n.01
2223,placental.n.01,ungulate.n.01
2224,ungulate.n.01,even-toed_ungulate.n.01
2225,even-toed_ungulate.n.01,ruminant.n.01
2226,ruminant.n.01,deer.n.01
