id,A,B
1758,new_world_monkey.n.01,placental.n.01
1759,brocket.n.01,placental.n.01
1760,alpaca.n.03,placental.n.01
1761,blue_fox.n.01,fox.n.01
1762,fissiped_mammal.n.01,carnivore.n.01
1763,slender-tailed_meerkat.n.01,meerkat.n.01
1764,western_big-eared_bat.n.01,long-eared_bat.n.01
1765,mexican_pocket_mouse.n.01,rodent.n.01
1766,longwool.n.01,placental.n.01
1767,eastern_pipistrel.n.01,mammal.n.01
1768,red_deer.n.01,placental.n.01
1769,santa_gertrudis.n.01,beef.n.01
1770,black_squirrel.n.01,tree_squirrel.n.01
1771,gerenuk.n.01,mammal.n.01
1772,megatherian.n.01,mammal.n.01
1773,shrew_mole.n.01,placental.n.01
1774,canada_porcupine.n.01,porcupine.n.01
1775,tabby.n.02,mammal.n.01
1776,airedale.n.01,mammal.n.01
1777,pony.n.05,equine.n.01
1778,yorkshire_terrier.n.01,mammal.n.01
1779,pallid_bat.n.01,bat.n.01
1780,pomeranian.n.01,dog.n.01
1781,african_hunting_dog.n.01,placental.n.01
1782,giant_panda.n.01,mammal.n.01
1783,nonstarter.n.02,mammal.n.01
1784,brewer's_mole.n.01,mole.n.06
1785,sea_otter.n.01,placental.n.01
1786,silver_fox.n.01,fox.n.01
1787,saddle_horse.n.01,placental.n.01
1788,sir_barton.n.01,ungulate.n.01
1789,indian_buffalo.n.01,water_buffalo.n.01
1790,american_red_squirrel.n.01,placental.n.01
1791,wallaby.n.01,mammal.n.01
1792,goral.n.01,even-toed_ungulate.n.01
1793,lesser_panda.n.01,placental.n.01
1794,plains_pocket_gopher.n.01,pocket_rat.n.01
1795,odd-toed_ungulate.n.01,placental.n.01
1796,palomino.n.01,horse.n.01
1797,eared_seal.n.01,aquatic_mammal.n.01
1798,tibetan_terrier.n.01,terrier.n.01
1799,fox.n.01,mammal.n.01
1800,schnauzer.n.01,canine.n.02
1801,shetland_pony.n.01,placental.n.01
1802,mastiff.n.01,carnivore.n.01
1803,tabby.n.01,placental.n.01
1804,abyssinian.n.01,domestic_cat.n.01
1805,homo_soloensis.n.01,primate.n.02
1806,flying_mouse.n.01,metatherian.n.01
1807,black-and-tan_coonhound.n.01,hound.n.01
1808,coyote.n.01,canine.n.02
1809,nilgai.n.01,antelope.n.01
1810,bay.n.07,equine.n.01
1811,thomson's_gazelle.n.01,antelope.n.01
1812,trotting_horse.n.01,racehorse.n.01
1813,bovid.n.01,ruminant.n.01
1814,mouser.n.01,domestic_cat.n.01
1815,cairn.n.02,canine.n.02
1816,barbary_ape.n.01,primate.n.02
1817,guenon.n.01,mammal.n.01
1818,mudder.n.01,racehorse.n.01
1819,polo_pony.n.01,mammal.n.01
1820,rhesus.n.01,primate.n.02
1821,tiglon.n.01,feline.n.01
1822,gopher.n.04,placental.n.01
1823,long-tailed_porcupine.n.01,porcupine.n.01
1824,weimaraner.n.01,hunting_dog.n.01
1825,woolly_monkey.n.01,primate.n.02
1826,woolly_rhinoceros.n.01,odd-toed_ungulate.n.01
1827,abrocome.n.01,placental.n.01
1828,miniature_pinscher.n.01,pinscher.n.01
1829,jackass_bat.n.01,carnivorous_bat.n.01
1830,english_setter.n.01,carnivore.n.01
1831,northern_bog_lemming.n.01,mammal.n.01
1832,ox.n.01,ruminant.n.01
1833,domestic_cat.n.01,feline.n.01
1834,slender-tailed_meerkat.n.01,placental.n.01
1835,gazella_subgutturosa.n.01,mammal.n.01
1836,red_squirrel.n.02,tree_squirrel.n.01
1837,chihuahua.n.03,dog.n.01
1838,pekinese.n.01,carnivore.n.01
1839,sable.n.05,musteline_mammal.n.01
1840,devon.n.02,bovid.n.01
1841,masked_shrew.n.01,insectivore.n.01
1842,aurochs.n.02,ox.n.02
1843,mammoth.n.01,placental.n.01
1844,bushbuck.n.01,placental.n.01
1845,tasmanian_devil.n.01,dasyurid_marsupial.n.01
1846,cinnamon_bear.n.01,bear.n.01
1847,saddle_horse.n.01,odd-toed_ungulate.n.01
1848,palomino.n.01,equine.n.01
1849,mountain_zebra.n.01,mammal.n.01
1850,wether.n.01,ruminant.n.01
1851,pocketed_bat.n.01,placental.n.01
1852,stoat.n.01,placental.n.01
1853,pinscher.n.01,working_dog.n.01
1854,pole_horse.n.01,trotting_horse.n.01
1855,bison.n.01,even-toed_ungulate.n.01
1856,pole_horse.n.01,odd-toed_ungulate.n.01
1857,guadalupe_fur_seal.n.01,placental.n.01
1858,trotting_horse.n.01,odd-toed_ungulate.n.01
1859,phenacomys.n.01,wood_rat.n.01
1860,cur.n.01,mammal.n.01
1861,pariah_dog.n.01,canine.n.02
1862,steed.n.01,ungulate.n.01
1863,platypus.n.01,prototherian.n.01
1864,leopardess.n.01,mammal.n.01
1865,whitetail_prairie_dog.n.01,rodent.n.01
1866,indian_rhinoceros.n.01,placental.n.01
1867,kit_fox.n.01,carnivore.n.01
1868,harrier.n.02,canine.n.02
1869,pilot_whale.n.01,mammal.n.01
1870,cinnamon_bear.n.01,carnivore.n.01
1871,wolf_pup.n.01,wolf.n.01
1872,wether.n.01,even-toed_ungulate.n.01
1873,briard.n.01,shepherd_dog.n.01
1874,gordon_setter.n.01,setter.n.02
1875,jackrabbit.n.01,hare.n.01
1876,sand_rat.n.02,mammal.n.01
1877,domestic_sheep.n.01,bovid.n.01
1878,tiger_cat.n.02,mammal.n.01
1879,wire-haired_fox_terrier.n.01,hunting_dog.n.01
1880,argali.n.01,wild_sheep.n.01
1881,moke.n.01,domestic_ass.n.01
1882,aperea.n.01,cavy.n.01
1883,tarpan.n.01,odd-toed_ungulate.n.01
1884,nilgai.n.01,ungulate.n.01
1885,hunting_dog.n.01,placental.n.01
1886,cheetah.n.01,feline.n.01
1887,stallion.n.01,horse.n.01
1888,ocelot.n.01,placental.n.01
1889,valley_pocket_gopher.n.01,placental.n.01
1890,zinjanthropus.n.01,hominid.n.01
1891,pacific_bottlenose_dolphin.n.01,aquatic_mammal.n.01
1892,liver_chestnut.n.01,placental.n.01
1893,douroucouli.n.01,new_world_monkey.n.01
1894,dog.n.01,mammal.n.01
1895,warthog.n.01,even-toed_ungulate.n.01
1896,buckskin.n.01,ungulate.n.01
1897,charger.n.01,ungulate.n.01
1898,bezoar_goat.n.01,wild_goat.n.01
1899,hinny.n.01,odd-toed_ungulate.n.01
1900,draft_horse.n.01,ungulate.n.01
1901,chickeree.n.01,mammal.n.01
1902,schipperke.n.01,carnivore.n.01
1903,indian_elephant.n.01,proboscidean.n.01
1904,frosted_bat.n.01,bat.n.01
1905,labrador_retriever.n.01,carnivore.n.01
1906,bellwether.n.02,wether.n.01
1907,bullock.n.02,placental.n.01
1908,paca.n.01,mammal.n.01
1909,mouser.n.01,cat.n.01
1910,working_dog.n.01,dog.n.01
1911,ord_kangaroo_rat.n.01,rat.n.01
1912,kid.n.05,bovid.n.01
1913,harpy.n.03,bat.n.01
1914,bandicoot_rat.n.01,rodent.n.01
1915,terrier.n.01,canine.n.02
1916,aoudad.n.01,bovid.n.01
1917,baronduki.n.01,squirrel.n.01
1918,megatherian.n.01,placental.n.01
1919,musk_kangaroo.n.01,marsupial.n.01
1920,burro.n.01,ass.n.03
1921,rock_wallaby.n.01,kangaroo.n.01
1922,mouflon.n.01,placental.n.01
1923,angwantibo.n.01,mammal.n.01
1924,proconsul.n.03,mammal.n.01
1925,springer.n.02,placental.n.01
1926,french_bulldog.n.01,mammal.n.01
1927,crabeater_seal.n.01,seal.n.09
1928,goat.n.01,mammal.n.01
1929,ox.n.02,bovine.n.01
1930,domestic_ass.n.01,placental.n.01
1931,kangaroo_mouse.n.02,rodent.n.01
1932,abyssinian.n.01,carnivore.n.01
1933,kit_fox.n.01,fox.n.01
1934,welsh.n.03,even-toed_ungulate.n.01
1935,lionet.n.01,big_cat.n.01
1936,new_world_monkey.n.01,mammal.n.01
1937,babirusa.n.01,ungulate.n.01
1938,pocket_rat.n.01,mammal.n.01
1939,puppy.n.01,dog.n.01
1940,vixen.n.02,placental.n.01
1941,numbat.n.01,metatherian.n.01
1942,crowbait.n.01,horse.n.01
1943,papillon.n.01,carnivore.n.01
1944,bottlenose_dolphin.n.01,whale.n.02
1945,drill.n.02,placental.n.01
1946,female_mammal.n.01,mammal.n.01
1947,gnu.n.01,ungulate.n.01
1948,feline.n.01,mammal.n.01
1949,tiger_cat.n.02,feline.n.01
1950,long-eared_bat.n.01,carnivorous_bat.n.01
1951,starnose_mole.n.01,mammal.n.01
1952,golden_mole.n.01,mole.n.06
1953,hack.n.06,equine.n.01
1954,rabbit_ears.n.02,leporid.n.01
1955,saiga.n.01,mammal.n.01
1956,standard_poodle.n.01,placental.n.01
1957,great_pyrenees.n.01,dog.n.01
1958,hooded_seal.n.01,pinniped_mammal.n.01
1959,sheep.n.01,even-toed_ungulate.n.01
1960,palm_cat.n.01,mammal.n.01
1961,basenji.n.01,mammal.n.01
1962,jackass_bat.n.01,placental.n.01
1963,hart.n.03,deer.n.01
1964,gallant_fox.n.01,odd-toed_ungulate.n.01
1965,seeing_eye_dog.n.01,canine.n.02
1966,steenbok.n.01,antelope.n.01
1967,american_marten.n.01,carnivore.n.01
1968,bernese_mountain_dog.n.01,dog.n.01
1969,eurasian_hamster.n.01,mammal.n.01
1970,homo_sapiens_sapiens.n.01,homo.n.02
1971,dachshund.n.01,canine.n.02
1972,pteropus_capestratus.n.01,mammal.n.01
1973,brown_bat.n.01,bat.n.01
1974,common_zebra.n.01,odd-toed_ungulate.n.01
1975,mountain_sheep.n.01,even-toed_ungulate.n.01
1976,irish_wolfhound.n.01,wolfhound.n.01
1977,old_world_buffalo.n.01,mammal.n.01
1978,echidna.n.02,monotreme.n.01
1979,black_fox.n.01,placental.n.01
1980,ant_bear.n.01,mammal.n.01
1981,wolf_pup.n.01,canine.n.02
1982,sable.n.05,placental.n.01
1983,belgian_sheepdog.n.01,canine.n.02
1984,hispid_pocket_mouse.n.01,rat.n.01
1985,dhole.n.01,wild_dog.n.01
1986,potoroo.n.01,mammal.n.01
1987,peccary.n.01,mammal.n.01
1988,beaked_whale.n.01,toothed_whale.n.01
1989,steed.n.01,horse.n.01
1990,alley_cat.n.01,domestic_cat.n.01
1991,polecat.n.02,mammal.n.01
1992,cinnamon_bear.n.01,placental.n.01
1993,protohippus.n.01,odd-toed_ungulate.n.01
1994,cat.n.01,mammal.n.01
1995,manul.n.01,wildcat.n.03
1996,hartebeest.n.01,ruminant.n.01
1997,spotted_hyena.n.01,mammal.n.01
1998,gelding.n.01,odd-toed_ungulate.n.01
1999,exmoor.n.01,bovid.n.01
2000,white_whale.n.01,aquatic_mammal.n.01
2001,water_buffalo.n.01,even-toed_ungulate.n.01
2002,horseshoe_bat.n.01,carnivorous_bat.n.01
2003,eastern_grey_squirrel.n.01,tree_squirrel.n.01
2004,tibetan_mastiff.n.01,mastiff.n.01
2005,potto.n.02,primate.n.02
2006,packrat.n.02,wood_rat.n.01
2007,longhorn.n.01,bovid.n.01
2008,atlantic_walrus.n.01,pinniped_mammal.n.01
2009,saber-toothed_tiger.n.01,feline.n.01
2010,mountain_sheep.n.01,bovid.n.01
2011,boskop_man.n.01,primate.n.02
2012,mouflon.n.01,mountain_sheep.n.01
2013,galloway.n.02,placental.n.01
2014,billy.n.02,placental.n.01
2015,merino.n.01,even-toed_ungulate.n.01
2016,secretariat.n.02,equine.n.01
2017,lionet.n.01,feline.n.01
2018,equine.n.01,placental.n.01
2019,chihuahua.n.03,mammal.n.01
2020,jersey.n.05,dairy_cattle.n.01
2021,pygmy_sperm_whale.n.01,whale.n.02
2022,german_shepherd.n.01,carnivore.n.01
2023,hamster.n.01,rodent.n.01
2024,omaha.n.04,racehorse.n.01
2025,chigetai.n.01,wild_ass.n.01
2026,cob.n.02,placental.n.01
2027,margay.n.01,feline.n.01
2028,chinchilla.n.03,mammal.n.01
2029,homo_sapiens_sapiens.n.01,primate.n.02
2030,civet.n.01,carnivore.n.01
2031,feist.n.01,carnivore.n.01
2032,harrier.n.02,mammal.n.01
2033,domestic_sheep.n.01,even-toed_ungulate.n.01
2034,pouched_mouse.n.01,dasyurid_marsupial.n.01
2035,thomson's_gazelle.n.01,placental.n.01
2036,manatee.n.01,sea_cow.n.01
2037,malamute.n.01,sled_dog.n.01
2038,american_bison.n.01,ungulate.n.01
2039,whirlaway.n.01,ungulate.n.01
2040,silky_terrier.n.01,carnivore.n.01
2041,bettong.n.01,kangaroo.n.01
2042,sable.n.05,mammal.n.01
2043,puku.n.01,even-toed_ungulate.n.01
2044,foxhound.n.01,hunting_dog.n.01
2045,common_raccoon.n.01,placental.n.01
2046,bezoar_goat.n.01,bovid.n.01
2047,colobus.n.01,mammal.n.01
2048,otter.n.02,carnivore.n.01
2049,roe_deer.n.01,mammal.n.01
2050,briard.n.01,dog.n.01
2051,hog_badger.n.01,carnivore.n.01
2052,silverback.n.01,placental.n.01
2053,police_dog.n.01,canine.n.02
2054,dasyurid_marsupial.n.01,marsupial.n.01
2055,rock_hyrax.n.01,placental.n.01
2056,affirmed.n.01,thoroughbred.n.02
2057,sambar.n.01,placental.n.01
2058,wisent.n.01,even-toed_ungulate.n.01
2059,fox_terrier.n.01,placental.n.01
2060,ape.n.01,mammal.n.01
2061,marten.n.01,musteline_mammal.n.01
2062,steenbok.n.01,placental.n.01
2063,brown_bat.n.01,mammal.n.01
2064,palm_cat.n.01,placental.n.01
2065,pollard.n.02,ruminant.n.01
2066,roan.n.02,ungulate.n.01
2067,bullterrier.n.01,carnivore.n.01
2068,snow_leopard.n.01,big_cat.n.01
2069,dun.n.01,odd-toed_ungulate.n.01
2070,standard_poodle.n.01,mammal.n.01
2071,rottweiler.n.01,mammal.n.01
2072,white-tailed_jackrabbit.n.01,lagomorph.n.01
2073,jaculus_jaculus.n.01,placental.n.01
2074,sambar.n.01,even-toed_ungulate.n.01
2075,black_sheep.n.02,bovid.n.01
2076,great_ape.n.01,placental.n.01
2077,thomson's_gazelle.n.01,ruminant.n.01
2078,ram.n.05,placental.n.01
2079,gorilla.n.01,mammal.n.01
2080,carthorse.n.01,equine.n.01
2081,red_bat.n.01,carnivorous_bat.n.01
2082,citation.n.06,equine.n.01
2083,water_dog.n.02,canine.n.02
2084,mexican_hairless.n.01,mammal.n.01
2085,muskrat.n.02,placental.n.01
2086,pinche.n.01,new_world_monkey.n.01
2087,jerboa_kangaroo.n.01,rat_kangaroo.n.01
2088,bottle-nosed_whale.n.01,toothed_whale.n.01
2089,big-eared_bat.n.01,false_vampire.n.01
2090,blacktail_jackrabbit.n.01,mammal.n.01
2091,two-toed_sloth.n.01,placental.n.01
2092,white_rhinoceros.n.01,odd-toed_ungulate.n.01
2093,hooded_skunk.n.01,mammal.n.01
2094,french_bulldog.n.01,placental.n.01
2095,grampus.n.02,cetacean.n.01
2096,dinocerate.n.01,mammal.n.01
2097,slender_loris.n.01,lemur.n.01
2098,bandicoot.n.01,mammal.n.01
2099,agouti.n.01,placental.n.01
2100,tamarin.n.01,placental.n.01
2101,eastern_woodrat.n.01,rodent.n.01
2102,cynopterus_sphinx.n.01,fruit_bat.n.01
2103,deer_mouse.n.01,mammal.n.01
2104,australopithecus_boisei.n.01,hominid.n.01
2105,malinois.n.01,mammal.n.01
2106,bullock.n.02,even-toed_ungulate.n.01
2107,exmoor.n.02,horse.n.01
2108,yellowbelly_marmot.n.01,marmot.n.01
2109,exmoor.n.02,odd-toed_ungulate.n.01
2110,american_marten.n.01,marten.n.01
2111,cat.n.01,carnivore.n.01
2112,dusky-footed_wood_rat.n.01,placental.n.01
2113,new_world_mouse.n.01,placental.n.01
2114,cheviot.n.01,even-toed_ungulate.n.01
2115,common_opossum.n.01,metatherian.n.01
2116,kit_fox.n.02,fox.n.01
2117,stone_marten.n.01,musteline_mammal.n.01
2118,galago.n.01,primate.n.02
2119,toy_manchester.n.01,carnivore.n.01
2120,basset.n.01,dog.n.01
2121,wildcat.n.03,carnivore.n.01
2122,indian_elephant.n.01,mammal.n.01
2123,tenrec.n.01,mammal.n.01
2124,western_chimpanzee.n.01,great_ape.n.01
2125,bovine.n.01,even-toed_ungulate.n.01
2126,kid.n.05,ungulate.n.01
2127,tibetan_mastiff.n.01,placental.n.01
2128,little_chief_hare.n.01,placental.n.01
2129,two-year-old_horse.n.01,horse.n.01
2130,eastern_cottontail.n.01,wood_rabbit.n.01
2131,post_horse.n.01,placental.n.01
2132,common_shrew.n.01,placental.n.01
2133,european_lemming.n.01,mammal.n.01
2134,friesian.n.01,even-toed_ungulate.n.01
2135,clydesdale.n.01,mammal.n.01
2136,white-footed_mouse.n.01,wood_mouse.n.01
2137,coondog.n.01,placental.n.01
2138,edentate.n.01,mammal.n.01
2139,ichneumon.n.01,viverrine.n.01
2140,egyptian_cat.n.01,cat.n.01
2141,spotted_lynx.n.01,wildcat.n.03
2142,bearded_seal.n.01,seal.n.09
2143,grevy's_zebra.n.01,placental.n.01
2144,carnivorous_bat.n.01,mammal.n.01
2145,santa_gertrudis.n.01,even-toed_ungulate.n.01
2146,fawn.n.02,deer.n.01
2147,steeplechaser.n.01,horse.n.01
2148,gerenuk.n.01,ruminant.n.01
2149,chamois.n.02,goat_antelope.n.01
2150,eastern_lowland_gorilla.n.01,anthropoid_ape.n.01
2151,belgian_sheepdog.n.01,placental.n.01
2152,common_wallaby.n.01,marsupial.n.01
2153,south_american_sea_lion.n.01,sea_lion.n.01
2154,cattalo.n.01,ruminant.n.01
2155,appenzeller.n.01,working_dog.n.01
2156,ungulate.n.01,placental.n.01
2157,moke.n.01,ungulate.n.01
2158,spouter.n.03,aquatic_mammal.n.01
2159,gazella_subgutturosa.n.01,even-toed_ungulate.n.01
2160,western_grey_squirrel.n.01,tree_squirrel.n.01
2161,javanthropus.n.01,primate.n.02
2162,ferret_badger.n.01,carnivore.n.01
2163,protohippus.n.01,placental.n.01
2164,leveret.n.01,hare.n.01
2165,guernsey.n.02,bovine.n.01
2166,assault.n.03,odd-toed_ungulate.n.01
2167,sealyham_terrier.n.01,carnivore.n.01
2168,tapir.n.01,mammal.n.01
2169,pygmy_marmoset.n.01,mammal.n.01
2170,vizsla.n.01,hunting_dog.n.01
2171,pine_marten.n.01,carnivore.n.01
2172,barren_ground_caribou.n.01,placental.n.01
2173,yellowbelly_marmot.n.01,rodent.n.01
2174,cocker_spaniel.n.01,placental.n.01
2175,megatherian.n.01,edentate.n.01
2176,eurasian_badger.n.01,mammal.n.01
2177,pembroke.n.01,canine.n.02
2178,gee-gee.n.01,horse.n.01
2179,dugong.n.01,aquatic_mammal.n.01
2180,jennet.n.01,ass.n.03
2181,griffon.n.03,sporting_dog.n.01
2182,steed.n.01,placental.n.01
2183,yak.n.02,mammal.n.01
2184,burmese_cat.n.01,mammal.n.01
2185,beaked_whale.n.01,placental.n.01
2186,bull.n.01,mammal.n.01
2187,bellwether.n.02,even-toed_ungulate.n.01
2188,greater_kudu.n.01,antelope.n.01
2189,homo_habilis.n.01,mammal.n.01
2190,serotine.n.01,bat.n.01
2191,llama.n.01,placental.n.01
2192,hartebeest.n.01,bovid.n.01
2193,homo_sapiens.n.01,hominid.n.01
2194,giant_schnauzer.n.01,mammal.n.01
2195,new_world_beaver.n.01,rodent.n.01
2196,african_elephant.n.01,placental.n.01
2197,hack.n.08,horse.n.01
2198,sea_otter.n.01,carnivore.n.01
2199,striped_muishond.n.01,placental.n.01
2200,hampshire.n.02,ungulate.n.01
2201,abyssinian.n.01,mammal.n.01
2202,jerboa_kangaroo.n.01,metatherian.n.01
2203,australopithecus_boisei.n.01,mammal.n.01
2204,longwool.n.01,bovid.n.01
2205,whippet.n.01,mammal.n.01
2206,jaguarundi.n.01,cat.n.01
2207,snow_leopard.n.01,mammal.n.01
2208,welsh_terrier.n.01,carnivore.n.01
2209,bull.n.11,placental.n.01
2210,coonhound.n.01,mammal.n.01
2211,irish_setter.n.01,dog.n.01
2212,seeing_eye_dog.n.01,dog.n.01
2213,pacific_bottlenose_dolphin.n.01,dolphin.n.02
2214,bear_cub.n.01,placental.n.01
2215,mouse.n.01,placental.n.01
2216,dairy_cattle.n.01,mammal.n.01
2217,charolais.n.01,ungulate.n.01
2218,seizure-alert_dog.n.01,carnivore.n.01
2219,eastern_lowland_gorilla.n.01,great_ape.n.01
2220,harbor_porpoise.n.01,aquatic_mammal.n.01
2221,draft_horse.n.01,placental.n.01
2222,siamang.n.01,placental.n.01
2223,beef.n.01,placental.n.01
2224,cob.n.02,mammal.n.01
2225,peking_man.n.01,mammal.n.01
2226,guide_dog.n.01,placental.n.01
2227,moke.n.01,mammal.n.01
2228,zinjanthropus.n.01,australopithecine.n.01
2229,jungle_cat.n.01,carnivore.n.01
2230,bullock.n.02,ungulate.n.01
2231,anoa.n.01,ungulate.n.01
2232,galloway.n.02,mammal.n.01
2233,water_chevrotain.n.01,even-toed_ungulate.n.01
2234,new_world_beaver.n.01,beaver.n.07
2235,grivet.n.01,monkey.n.01
2236,eastern_lowland_gorilla.n.01,ape.n.01
2237,remount.n.01,horse.n.01
2238,american_water_shrew.n.01,placental.n.01
2239,bengal_tiger.n.01,feline.n.01
2240,jackrabbit.n.01,mammal.n.01
2241,pony.n.05,mammal.n.01
2242,bloodhound.n.01,canine.n.02
2243,water_spaniel.n.01,sporting_dog.n.01
2244,slender-tailed_meerkat.n.01,carnivore.n.01
2245,steenbok.n.01,ruminant.n.01
2246,doberman.n.01,carnivore.n.01
2247,southern_flying_squirrel.n.01,mammal.n.01
2248,burmese_cat.n.01,feline.n.01
2249,welsh_terrier.n.01,terrier.n.01
2250,algeripithecus_minutus.n.01,placental.n.01
2251,exmoor.n.01,mammal.n.01
2252,panther.n.02,placental.n.01
2253,pocketed_bat.n.01,bat.n.01
2254,cairn.n.02,carnivore.n.01
2255,longhorn.n.01,bovine.n.01
2256,timber_wolf.n.01,mammal.n.01
2257,mole.n.06,insectivore.n.01
2258,peccary.n.01,even-toed_ungulate.n.01
2259,dandie_dinmont.n.01,carnivore.n.01
2260,domestic_goat.n.01,even-toed_ungulate.n.01
2261,cat.n.01,placental.n.01
2262,milking_shorthorn.n.01,placental.n.01
2263,hinny.n.01,placental.n.01
2264,coydog.n.01,coyote.n.01
2265,bucking_bronco.n.01,placental.n.01
2266,wild_goat.n.01,goat.n.01
2267,royal.n.02,placental.n.01
2268,smiledon_californicus.n.01,carnivore.n.01
2269,aurochs.n.02,ruminant.n.01
2270,border_collie.n.01,working_dog.n.01
2271,gnu.n.01,placental.n.01
2272,sperm_whale.n.01,toothed_whale.n.01
2273,spaniel.n.01,hunting_dog.n.01
2274,crab-eating_opossum.n.01,opossum.n.02
2275,old_world_monkey.n.01,mammal.n.01
2276,wapiti.n.01,even-toed_ungulate.n.01
2277,heifer.n.01,cattle.n.01
2278,imperial_mammoth.n.01,mammal.n.01
2279,guanaco.n.01,llama.n.01
2280,eurasian_otter.n.01,musteline_mammal.n.01
2281,pallid_bat.n.01,placental.n.01
2282,european_water_shrew.n.01,placental.n.01
2283,broadtail.n.02,placental.n.01
2284,crab-eating_raccoon.n.01,mammal.n.01
2285,seeing_eye_dog.n.01,working_dog.n.01
2286,dog.n.01,carnivore.n.01
2287,vicuna.n.03,even-toed_ungulate.n.01
2288,common_eland.n.01,antelope.n.01
2289,griffon.n.02,carnivore.n.01
2290,cashmere_goat.n.01,ungulate.n.01
2291,homo_habilis.n.01,hominid.n.01
2292,eastern_chipmunk.n.01,squirrel.n.01
2293,badger.n.02,placental.n.01
2294,afghan_hound.n.01,hunting_dog.n.01
2295,cactus_mouse.n.01,mouse.n.01
2296,grison.n.01,musteline_mammal.n.01
2297,entlebucher.n.01,canine.n.02
2298,columbian_mammoth.n.01,mammoth.n.01
2299,gallant_fox.n.01,ungulate.n.01
2300,soft-coated_wheaten_terrier.n.01,placental.n.01
2301,bernese_mountain_dog.n.01,mammal.n.01
2302,sinanthropus.n.01,hominid.n.01
2303,talapoin.n.01,old_world_monkey.n.01
2304,true_marmoset.n.01,primate.n.02
2305,pinche.n.01,mammal.n.01
2306,fox_terrier.n.01,hunting_dog.n.01
2307,kangaroo.n.01,mammal.n.01
2308,norwegian_elkhound.n.01,hound.n.01
2309,markhor.n.01,bovid.n.01
2310,clydesdale_terrier.n.01,hunting_dog.n.01
2311,angora.n.02,mammal.n.01
2312,western_lowland_gorilla.n.01,great_ape.n.01
2313,pariah_dog.n.01,dog.n.01
2314,silky_tamarin.n.01,primate.n.02
2315,european_wildcat.n.01,cat.n.01
2316,sea_lion.n.01,aquatic_mammal.n.01
2317,deer.n.01,ruminant.n.01
2318,assault.n.03,equine.n.01
2319,sussex_spaniel.n.01,hunting_dog.n.01
2320,bernese_mountain_dog.n.01,carnivore.n.01
2321,chacma.n.01,mammal.n.01
2322,mountain_gorilla.n.01,anthropoid_ape.n.01
2323,whippet.n.01,greyhound.n.01
2324,atlantic_bottlenose_dolphin.n.01,bottlenose_dolphin.n.01
2325,rorqual.n.01,placental.n.01
2326,siamese_cat.n.01,feline.n.01
2327,blacktail_prairie_dog.n.01,mammal.n.01
2328,trotting_horse.n.01,mammal.n.01
2329,kanchil.n.01,mammal.n.01
2330,elk.n.01,ruminant.n.01
2331,pony.n.01,mammal.n.01
2332,devon.n.02,cattle.n.01
2333,bull.n.01,bovine.n.01
2334,zebu.n.01,brahman.n.04
2335,porcupine.n.01,mammal.n.01
2336,hispid_pocket_mouse.n.01,mammal.n.01
2337,grevy's_zebra.n.01,mammal.n.01
2338,skye_terrier.n.01,carnivore.n.01
2339,english_foxhound.n.01,foxhound.n.01
2340,otter_shrew.n.01,placental.n.01
2341,brocket.n.02,ungulate.n.01
2342,house_mouse.n.01,placental.n.01
2343,manchester_terrier.n.01,rat_terrier.n.01
2344,siberian_husky.n.01,dog.n.01
2345,australian_sea_lion.n.01,placental.n.01
2346,asian_wild_ox.n.01,bovid.n.01
2347,eohippus.n.01,horse.n.01
2348,equine.n.01,ungulate.n.01
2349,vaquita.n.01,placental.n.01
2350,antelope.n.01,ruminant.n.01
2351,groundhog.n.01,placental.n.01
2352,cob.n.02,ungulate.n.01
2353,domestic_llama.n.01,placental.n.01
2354,alley_cat.n.01,carnivore.n.01
2355,least_shrew.n.01,placental.n.01
2356,fawn.n.02,mammal.n.01
2357,woolly_monkey.n.01,mammal.n.01
2358,war_admiral.n.01,equine.n.01
2359,tennessee_walker.n.01,saddle_horse.n.01
2360,uakari.n.01,placental.n.01
2361,lapin.n.02,lagomorph.n.01
2362,liver-spotted_dalmatian.n.01,canine.n.02
2363,douroucouli.n.01,primate.n.02
2364,suslik.n.01,mammal.n.01
2365,kudu.n.01,even-toed_ungulate.n.01
2366,hispid_pocket_mouse.n.01,pocket_rat.n.01
2367,african_hunting_dog.n.01,canine.n.02
2368,yorkshire_terrier.n.01,hunting_dog.n.01
2369,woolly_rhinoceros.n.01,rhinoceros.n.01
2370,bouvier_des_flandres.n.01,placental.n.01
2371,rambouillet.n.01,domestic_sheep.n.01
2372,meerkat.n.01,mammal.n.01
2373,bullterrier.n.01,hunting_dog.n.01
2374,watchdog.n.02,dog.n.01
2375,beagle.n.01,carnivore.n.01
2376,giraffe.n.01,ungulate.n.01
2377,workhorse.n.02,mammal.n.01
2378,male_horse.n.01,odd-toed_ungulate.n.01
2379,bronco.n.01,mustang.n.01
2380,loir.n.01,dormouse.n.01
2381,setter.n.02,mammal.n.01
2382,australian_sea_lion.n.01,aquatic_mammal.n.01
2383,american_foxhound.n.01,carnivore.n.01
2384,coach_horse.n.01,placental.n.01
2385,puku.n.01,placental.n.01
2386,white_elephant.n.02,elephant.n.01
2387,river_dolphin.n.01,aquatic_mammal.n.01
2388,labrador_retriever.n.01,placental.n.01
2389,africander.n.01,bovid.n.01
2390,dandie_dinmont.n.01,mammal.n.01
2391,retriever.n.01,carnivore.n.01
2392,polar_hare.n.01,placental.n.01
